Year,Sunspot number
1875,17
1876,11.3
1877,12.4
1878,3.4
1879,6
1880,32.3
1881,54.3
1882,59.7
1883,63.7
1884,63.5
1885,52.2
1886,25.4
1887,13.1
1888,6.8
1889,6.3
1890,7.1
1891,35.6
1892,73
1893,85.1
1894,78
1895,64
1896,41.8
1897,26.2
1898,26.7
1899,12.1
1900,9.5
1901,2.7
1902,5
1903,24.4
1904,42
1905,63.5
1906,53.8
1907,62
1908,48.5
1909,43.9
1910,18.6
1911,5.7
1912,3.6
1913,1.4
1914,9.6
1915,47.4
1916,57.1
1917,103.9
1918,80.6
1919,63.6
1920,37.6
1921,26.1
1922,14.2
1923,5.8
1924,16.7
1925,44.3
1926,63.9
1927,69
1928,77.8
1929,64.9
1930,35.7
1931,21.2
1932,11.1
1933,5.7
1934,8.7
1935,36.1
1936,79.7
1937,114.4
1938,109.6
1939,88.8
1940,67.8
1941,47.5
1942,30.6
1943,16.3
1944,9.6
1945,33.2
1946,92.6
1947,151.6
1948,136.3
1949,134.7
1950,83.9
1951,69.4
1952,31.5
1953,13.9
1954,4.4
1955,38
1956,141.7
1957,190.2
1958,184.8
1959,159
1960,112.3
1961,53.9
1962,37.6
1963,27.9
1964,10.2
1965,15.1
1966,47
1967,93.8
1968,105.9
1969,105.5
1970,104.5
1971,66.6
1972,68.9
1973,38
1974,34.5
1975,15.5
1976,12.6
1977,27.5
1978,92.5
1979,155.4
1980,154.6
1981,140.4
1982,115.9
1983,66.6
1984,45.9
1985,17.9
1986,13.4
1987,29.4
1988,100.2
1989,157.6
1990,142.2
1991,145.8
1992,94.5
1993,54.7
1994,29.9
1995,17.5
1996,8.6
1997,21.6
1998,64.2
1999,93.4
2000,119.6
2001,110.9
2002,104.1
2003,63.6
2004,40.4
2005,29.8
2006,15.2
2007,7.6
2008,2.9
2009,3.1
2010,16.5
2011,55.7
2012,57.6
2013,64.7
2014,79.3
2015,80
2016,56
2017,45
2018,34
2019,32
2020,57
2021,47
2022,39
